gene,noFMT_2_ileum
gene_3209751,32802
gene_4222118,32802
gene_4632783,32770
gene_4053958,32678
gene_3244653,32509
gene_3991949,32505
gene_4059909,32449
gene_4616863,32426
gene_4568437,32403
gene_4485091,32366
gene_3985860,32331
gene_4497716,32327
gene_3996218,32301
gene_4183762,32196
gene_3986867,32172
gene_4306960,32136
gene_3823488,32133
gene_3474526,32115
gene_3535619,32090
gene_3110449,32086
gene_3789038,32014
gene_3875564,31933
gene_2560333,31897
gene_2400855,31742
gene_3331940,31683
gene_4463221,31682
gene_4628276,31650
gene_4310092,31415
gene_3470408,31407
gene_2489998,31223
gene_3992196,31206
gene_3986267,31204
gene_4509529,31128
gene_4604285,31099
gene_3656089,31092
gene_3521261,31070
gene_3558225,30884
gene_4088308,30840
gene_3992068,30826
gene_4146198,30782
gene_4598259,30647
gene_3000862,30631
gene_3352067,30532
gene_3945907,30525
gene_4304251,30507
gene_4172081,30443
gene_4634916,30443
gene_3477282,30440
gene_4157349,30327
gene_4160203,30310
gene_4089261,30267
gene_4317560,30186
gene_2974536,30121
gene_3589527,30103
gene_4009128,30051
gene_3675601,30001
gene_4070299,29979
gene_2876811,29770
gene_3924911,29706
gene_4147143,29677
gene_2688324,29616
gene_3980224,29605
gene_4513875,29587
gene_4494409,29582
gene_3825579,29550
gene_3930336,29432
gene_4086729,29353
gene_4051738,29305
gene_4517282,29296
gene_4499699,29286
gene_4252529,29270
gene_4023847,29258
gene_4200727,29246
gene_4483988,29209
gene_4249474,29202
gene_4426836,29179
gene_4548236,29169
gene_3720711,28995
gene_3782836,28921
gene_2938602,28866
gene_3911803,28831
gene_2794975,28706
gene_4153792,28675
gene_4218946,28479
gene_4358652,28417
gene_4087327,28406
gene_4044582,28399
gene_2525169,28388
gene_3755259,28388
gene_3087960,28370
gene_4073625,28365
gene_3653030,28322
gene_4542711,28315
gene_4504041,28312
gene_3986306,28225
gene_4001575,28182
gene_4089409,28132
gene_3752730,28089
gene_3247778,28070
gene_2256624,28057
gene_4465933,27995
gene_4321820,27939
gene_2583973,27923
gene_3793510,27910
gene_3259552,27864
gene_3740383,27797
gene_3781212,27784
gene_3497191,27760
gene_4513989,27747
gene_3979507,27694
gene_3878529,27667
gene_3701333,27637
gene_4130003,27554
gene_3317329,27551
gene_4612983,27405
gene_4513576,27383
gene_1943946,27376
gene_2588043,27310
gene_4137251,27220
gene_3738895,27183
gene_3955079,27139
gene_3913539,27137
gene_2844581,27130
gene_3238698,27060
gene_2347056,26943
gene_4495266,26940
gene_4222117,26913
gene_4203263,26875
gene_2658890,26802
gene_3868655,26761
gene_3431941,26718
gene_3611881,26713
gene_3576986,26712
gene_1796288,26687
gene_3271895,26673
gene_3729740,26639
gene_3501541,26586
gene_4218945,26557
gene_3405831,26549
gene_4596036,26538
gene_3805266,26502
gene_4006072,26474
gene_3716832,26315
gene_3940249,26216
gene_4095929,26210
gene_3314903,26168
gene_4503527,26133
gene_4348081,26078
gene_4523717,26072
gene_3616270,25961
gene_4542087,25944
gene_3892935,25942
gene_4413039,25908
gene_4155791,25865
gene_3300666,25865
gene_3252853,25807
gene_4099366,25802
gene_4218354,25691
gene_3584032,25691
gene_4382686,25662
gene_4540214,25655
gene_3388185,25641
gene_4489830,25636
gene_3360103,25556
gene_4003577,25545
gene_3998040,25543
gene_3144828,25510
gene_4080173,25414
gene_4105483,25387
gene_4445564,25365
gene_3269065,25337
gene_2651766,25263
gene_4096958,25257
gene_4347666,25239
gene_2777823,25198
gene_2788973,25198
gene_4435122,25138
gene_3987824,25106
gene_3098645,25092
gene_3532645,25069
gene_3209099,25008
gene_2855784,24989
gene_3723278,24971
gene_2828118,24952
gene_3432626,24873
gene_3293886,24829
gene_3452368,24794
gene_4280827,24758
gene_3736960,24748
gene_4117699,24707
gene_4225054,24696
gene_4448664,24692
gene_3557530,24668
gene_4018401,24667
gene_2382596,24620
gene_2892854,24561
gene_3485290,24555
gene_4577249,24540
gene_2398525,24515
gene_3866491,24503
gene_4308971,24496
gene_3053565,24480
gene_4419666,24472
gene_3913946,24459
gene_4213680,24428
gene_3942197,24412
gene_4330947,24385
gene_4216341,24347
gene_3339741,24326
gene_4452723,24313
gene_4334389,24309
gene_4255344,24274
gene_4618044,24251
gene_2398524,24232
gene_3910325,24209
gene_3740385,24155
gene_4392938,24111
gene_3944013,24105
gene_3835586,24081
gene_4389477,24045
gene_4573431,24043
gene_3656090,24006
gene_3052508,23907
gene_3811264,23896
gene_2794778,23824
gene_4179817,23792
gene_4483276,23772
gene_3825342,23707
gene_2982674,23682
gene_4348083,23676
gene_3340960,23644
gene_3583194,23638
gene_4330948,23609
gene_3930784,23602
gene_4299283,23594
gene_4231946,23565
gene_4593702,23504
gene_3675437,23491
gene_3852974,23482
gene_3267496,23432
gene_4367107,23413
gene_3731283,23408
gene_4089602,23403
gene_4298553,23400
gene_3250146,23399
gene_4409338,23396
gene_4153442,23366
gene_4149989,23329
gene_4073708,23311
gene_4238894,23305
gene_3886870,23299
gene_4079729,23265
gene_3524799,23262
gene_2907312,23256
gene_3359669,23246
gene_1930568,23207
gene_4261888,23127
gene_4290880,23103
gene_4016255,23078
gene_4062857,23044
gene_3009815,23035
gene_3878528,23034
gene_4128625,23005
gene_2195471,22997
gene_3947896,22938
gene_3387999,22911
gene_4630560,22893
gene_3845096,22865
gene_4382972,22797
gene_3996528,22760
gene_4282880,22736
gene_4467506,22731
gene_4456613,22690
gene_4611670,22684
gene_4527917,22643
gene_2684157,22640
gene_4244866,22638
gene_3971172,22632
gene_3790399,22628
gene_3443561,22581
gene_3917252,22567
gene_3649966,22513
gene_4410001,22511
gene_3552768,22504
gene_4159504,22496
gene_2658003,22436
gene_4586186,22426
gene_2659887,22402
gene_4322121,22383
gene_4107239,22358
gene_2947255,22317
gene_3312054,22304
gene_4258310,22251
gene_4215772,22241
gene_4168454,22232
gene_4622913,22216
gene_4265295,22207
gene_3170172,22176
gene_3045510,22155
gene_3830070,22108
gene_4149240,22080
gene_4274409,22058
gene_4182919,22044
gene_4609967,22038
gene_4258089,22038
gene_4363576,22014
gene_2687372,21965
gene_4040375,21953
gene_4128623,21930
gene_3245032,21930
gene_3873057,21866
gene_4334077,21848
gene_3371393,21814
gene_3905031,21800
gene_2517279,21773
gene_3835875,21759
gene_3470506,21753
gene_3688249,21739
gene_3574475,21725
gene_4180576,21703
gene_2775055,21612
gene_3151781,21577
gene_4485093,21547
gene_4408105,21535
gene_3366673,21472
gene_4058617,21437
gene_3576356,21367
gene_3410007,21359
gene_4137143,21335
gene_4030929,21330
gene_4146844,21305
gene_4615339,21288
gene_3962232,21278
gene_3788353,21271
gene_4502189,21264
gene_4369416,21260
gene_4308400,21229
gene_4412464,21228
gene_3664881,21206
gene_2847653,21135
gene_4384708,21082
gene_4103029,21061
gene_3761497,21045
gene_4546130,21024
gene_3517306,21017
gene_4279060,21000
gene_4500980,20998
gene_4246894,20986
gene_3431942,20959
gene_4055708,20938
gene_4334388,20938
gene_3558226,20899
gene_3920429,20893
gene_3420392,20867
gene_3396364,20855
gene_3902595,20852
gene_3649676,20840
gene_4556934,20814
gene_4273368,20799
gene_3524792,20723
gene_4430403,20718
gene_4246071,20691
gene_3457766,20650
gene_4378040,20594
gene_3411395,20545
gene_3224342,20544
gene_3867072,20526
gene_4131553,20507
gene_3979470,20433
gene_4116340,20377
gene_3748570,20369
gene_4451134,20348
gene_4121122,20348
gene_4545438,20259
gene_4242693,20255
gene_3335066,20242
gene_4013034,20208
gene_4021415,20193
gene_3804073,20171
gene_4528196,20165
gene_4120103,20126
gene_3537520,20081
gene_3846320,20074
gene_3533367,20035
gene_4059907,20032
gene_3515995,20027
gene_3769682,19992
gene_2807308,19926
gene_4411418,19925
gene_4373937,19875
gene_3158796,19860
gene_3963734,19846
gene_3624994,19828
gene_4511433,19801
gene_3655250,19795
gene_4268601,19794
gene_4370922,19752
gene_4516147,19742
gene_2762206,19739
gene_2791557,19733
gene_3548732,19727
gene_3570235,19723
gene_3727693,19712
gene_3008563,19711
gene_4321906,19637
gene_3730822,19635
gene_3659756,19634
gene_3229695,19632
gene_3763409,19615
gene_4467507,19595
gene_4101748,19592
gene_3821375,19565
gene_4434871,19563
gene_3483168,19534
gene_3839277,19493
gene_4080231,19484
gene_3546743,19455
gene_4622483,19441
gene_4566738,19421
gene_3016197,19417
gene_3878289,19416
gene_2865884,19378
gene_4536110,19312
gene_3611523,19281
gene_4269533,19248
gene_3391813,19240
gene_3876300,19232
gene_3319054,19225
gene_2027438,19213
gene_4254653,19202
gene_3905500,19200
gene_4003123,19175
gene_3736800,19167
gene_4435123,19154
gene_3840599,19148
gene_2545589,19142
gene_3672159,19117
gene_4364448,19105
gene_4321182,19095
gene_3939574,19090
gene_4099942,19089
gene_3468031,19081
gene_4471081,19079
gene_4140834,19068
gene_3958335,19062
gene_3768885,19007
gene_4042559,18995
gene_2658889,18957
gene_3508106,18898
gene_4442437,18852
gene_2531463,18851
gene_4325086,18811
gene_4609410,18810
gene_4239190,18777
gene_2226190,18768
gene_3762862,18744
gene_3422190,18721
gene_4517630,18713
gene_3887703,18711
gene_4452467,18679
gene_4529699,18675
gene_3021138,18668
gene_4207199,18628
gene_4372256,18614
gene_3545699,18535
gene_3208633,18534
gene_4280128,18517
gene_4612385,18515
gene_3768640,18478
gene_3016196,18461
gene_3138143,18443
gene_4385236,18407
gene_4574726,18398
gene_4018213,18393
gene_3701217,18389
gene_4578517,18387
gene_4096066,18359
gene_4385476,18326
gene_4174320,18309
gene_4270176,18273
gene_4303071,18255
gene_3525804,18255
gene_3594870,18248
gene_4513990,18239
gene_4477387,18210
gene_4063114,18208
gene_3812130,18194
gene_4108746,18146
gene_4021954,18133
gene_3256987,18128
gene_2748605,18107
gene_3377577,18072
gene_4505499,18034
gene_3637357,17989
gene_1228123,17965
gene_4107753,17959
gene_2497116,17943
gene_4097100,17896
gene_3570114,17894
gene_4543219,17879
gene_4443788,17864
gene_2950539,17806
gene_4179816,17777
gene_4286467,17736
gene_4631409,17715
gene_4110617,17699
gene_3699416,17536
gene_3061537,17532
gene_4105546,17504
gene_4616818,17481
gene_4236880,17473
gene_4324715,17467
gene_3331026,17405
gene_3193677,17375
gene_4069655,17366
gene_4602238,17349
gene_4327639,17348
gene_3293038,17347
gene_1797084,17248
gene_4181468,17210
gene_3629582,17165
gene_2907468,17164
gene_4638289,17161
gene_3183669,17150
gene_4157725,17099
gene_3994098,17054
gene_4210246,17040
gene_3017876,17025
gene_4088309,17009
gene_3483964,16962
gene_3878339,16932
gene_3356152,16917
gene_3847533,16901
gene_4131554,16832
gene_4525919,16800
gene_4637268,16790
gene_4426395,16776
gene_4320137,16715
gene_2942453,16710
gene_3754341,16624
gene_4203262,16612
gene_3447360,16583
gene_3928646,16562
gene_2988423,16554
gene_3321131,16548
gene_3407586,16541
gene_2891827,16535
gene_3851480,16463
gene_4064682,16402
gene_3840600,16398
gene_3892505,16383
gene_4253613,16382
gene_3237970,16318
gene_4528749,16311
gene_2436565,16268
gene_4037308,16254
gene_2688259,16213
gene_4214791,16175
gene_3747117,16163
gene_3768162,16159
gene_4007592,16153
gene_2843767,16140
gene_4529695,16129
gene_3766364,16118
gene_3530376,16115
gene_3880134,16101
gene_4452507,16086
gene_3902141,16060
gene_4239563,15972
gene_2738377,15960
gene_4353436,15951
gene_2668423,15950
gene_3791658,15917
gene_3395345,15870
gene_3700585,15869
gene_2548133,15841
gene_4290563,15816
gene_4466074,15808
gene_4109179,15774
gene_3070147,15772
gene_4039328,15711
gene_2889990,15693
gene_2862090,15659
gene_4449784,15644
gene_3703611,15644
gene_3240042,15607
gene_3896782,15586
gene_2974748,15581
gene_3776251,15561
gene_4287837,15535
gene_3553954,15519
gene_4584189,15516
gene_4099202,15507
gene_3241222,15501
gene_2403163,15477
gene_4442343,15446
gene_2671473,15413
gene_4605923,15408
gene_4161604,15383
gene_4563513,15323
gene_4248567,15316
gene_3365398,15315
gene_4021342,15291
gene_4114702,15285
gene_2862595,15269
gene_3684338,15233
gene_2451765,15199
gene_4566159,15194
gene_3367050,15190
gene_4235718,15144
gene_4561712,15134
gene_3163159,15122
gene_4623429,15107
gene_3606768,15077
gene_4032220,15072
gene_4438282,15057
gene_3942185,15048
4-4_GL0084790,15048
gene_4131555,15039
gene_4351361,15038
gene_3784734,15032
gene_3680054,15031
gene_3920705,15022
gene_3638608,15008
gene_3030514,14978
gene_2870586,14952
gene_2975699,14937
gene_4252705,14876
gene_4572013,14865
gene_4401953,14814
gene_3950111,14773
gene_3830681,14761
gene_4473652,14724
gene_4470406,14704
gene_4561586,14700
gene_2598443,14691
gene_4527576,14635
gene_3900615,14621
gene_3477439,14572
gene_4241568,14560
gene_2554634,14515
gene_4399332,14428
gene_3603345,14396
gene_3748625,14375
gene_3708805,14371
gene_4237576,14345
gene_3566700,14320
gene_2155406,14296
gene_4519327,14289
gene_3487708,14287
gene_4343613,14280
gene_4346855,14234
gene_4417977,14206
gene_4007919,14202
gene_2242713,14159
gene_4317729,14153
gene_3424683,14148
gene_4523371,14139
gene_4492869,14116
gene_3688415,14093
gene_2891628,14078
gene_3743822,14056
gene_3020902,14002
gene_4140213,14001
gene_3930782,13993
gene_3903189,13978
gene_3864697,13968
gene_3979508,13954
gene_2542392,13941
gene_2444072,13927
gene_4471155,13920
gene_4556371,13905
gene_4093542,13897
gene_4546408,13896
gene_3225670,13894
gene_4304471,13865
gene_4449542,13865
gene_3385050,13847
gene_4545706,13839
gene_3504372,13776
gene_2360609,13771
gene_3426084,13754
gene_4259368,13752
gene_3968138,13709
gene_4039330,13701
gene_3169507,13694
gene_3752113,13643
gene_3939997,13642
gene_4564532,13615
gene_4070916,13615
gene_4549415,13591
gene_3015770,13579
gene_4412666,13575
gene_4265316,13568
gene_3894131,13532
gene_3363935,13512
gene_4224908,13501
gene_2748457,13478
gene_3801155,13475
gene_3772264,13449
gene_3877458,13395
gene_2945924,13391
gene_4228672,13354
gene_4337085,13345
gene_4239737,13329
gene_3910328,13317
gene_4103276,13314
gene_4104294,13264
gene_3178518,13250
gene_3166850,13239
gene_4483122,13235
gene_4446473,13227
gene_3203079,13218
gene_3386808,13200
gene_4421702,13189
gene_3125400,13138
gene_4475386,13097
gene_4520504,13093
gene_3434320,13078
gene_4187980,13035
gene_4066797,13026
gene_3619597,13021
gene_4405191,13020
gene_4095762,12945
gene_3209100,12935
gene_3503605,12928
gene_2345741,12919
gene_3794014,12911
gene_3943020,12895
gene_4198064,12885
gene_3952118,12866
gene_4156632,12847
gene_3723759,12841
gene_3912717,12823
gene_3539774,12818
gene_4356249,12815
gene_4488023,12800
gene_3622006,12789
gene_4369391,12781
gene_4446864,12763
gene_3896186,12763
gene_3568137,12734
gene_4573737,12671
gene_4405189,12670
gene_4442367,12640
gene_2671553,12634
gene_2244609,12620
gene_4497927,12617
gene_3948070,12595
gene_4358011,12586
gene_3970211,12561
gene_4480420,12547
gene_3839567,12526
gene_3636022,12508
gene_4595285,12500
gene_4132911,12466
gene_4350987,12452
gene_4288577,12443
gene_3694244,12428
gene_4082320,12425
gene_4291186,12420
gene_2726972,12392
gene_3659142,12384
gene_4582928,12383
gene_2612009,12370
gene_4293903,12331
gene_4022371,12327
gene_3661365,12316
gene_2839180,12298
gene_4635507,12282
gene_4145712,12255
gene_3148548,12251
gene_3605075,12247
gene_3889288,12218
gene_3681740,12189
gene_2264954,12185
gene_3946214,12170
gene_4606035,12157
gene_2745606,12157
gene_4021955,12067
gene_3916226,12009
gene_3359107,12008
gene_3031888,11985
gene_4115873,11972
gene_4103682,11966
gene_2197877,11942
gene_2821593,11923
gene_3853186,11915
gene_4405089,11876
gene_3591813,11870
gene_2779193,11854
gene_3308717,11798
gene_3460949,11793
gene_4017616,11718
gene_3896976,11698
gene_3369022,11686
gene_4438084,11661
gene_4095889,11647
gene_2836867,11638
gene_3203713,11592
gene_3549334,11554
gene_3162651,11467
gene_3442602,11453
gene_2300063,11441
gene_3147418,11437
gene_4335671,11423
gene_3823417,11403
gene_2113055,11402
gene_4339927,11360
gene_4445774,11348
gene_4347975,11320
gene_4147670,11295
gene_3394078,11293
gene_4438048,11260
gene_4192376,11213
gene_4363402,11195
gene_4431481,11187
gene_4556772,11154
gene_3815982,11145
gene_3819729,11128
gene_4091043,11111
gene_3826634,11094
gene_2947299,11079
gene_3169699,11069
gene_3465852,11029
gene_3561552,11027
gene_4389605,11010
gene_2731442,10978
gene_3501642,10976
gene_2960316,10950
gene_3205533,10939
gene_3975977,10925
gene_3769614,10905
gene_4559733,10899
gene_4267891,10881
gene_3120991,10863
gene_4138552,10862
gene_4214790,10842
gene_4512224,10777
gene_3706445,10764
gene_4620662,10751
gene_4258739,10748
gene_3788613,10744
gene_2815513,10677
gene_3340959,10677
gene_3224473,10648
gene_4460953,10625
gene_4094560,10621
gene_3647451,10620
gene_2479644,10605
gene_4227884,10605
gene_4247181,10598
gene_2348583,10580
gene_4152213,10518
gene_4475245,10501
gene_4430789,10484
gene_4251654,10398
gene_3026649,10394
gene_3930693,10374
gene_4245387,10341
gene_3965834,10327
gene_4414549,10295
gene_4544227,10276
gene_4019258,10246
gene_3985927,10208
gene_3015454,10199
gene_3098774,10197
gene_3416091,10175
gene_4559732,10169
gene_3966376,10159
gene_2615331,10142
gene_4056695,10141
gene_3791024,10105
gene_4624815,10085
gene_3697920,10084
gene_3987263,10082
